Time (sec),Axis0 Target Position (m),Axis0 Actual Position (m),Axis0 Target Velocity (m/s),Axis0 Actual Velocity (m/s),Axis0 Control Output (%),Axis0 Status Bits
0.375,10,10.0000391,0,0.00016274,0.491698831,16#0C202241
0.376,10,10.0000391,0,0.002001636,0.491708517,16#0C202241
0.377,10,10.0000792,0,0.004819686,0.491217613,16#0C202241
0.378,10,10.0001574,0,0.007599436,0.489986628,16#0C202241
0.379,10,10.0001574,0,0.01140398,0.489297599,16#0C202241
0.38,10,10.0001574,0,0.017183919,0.488897711,16#0C202241
0.381,10,10.0001574,0,0.023150004,0.48865214,16#0C202241
0.382,10,10.0001974,0,0.02626406,0.48800084,16#0C202241
0.383,10,10.0001574,0,0.025220403,0.488100857,16#0C202241
0.384,10,10.0001974,0,0.020750746,0.487633944,16#0C202241
0.385,10,10.0001574,0,0.014361332,0.487832397,16#0C202241
0.386,10,10.0002365,0,0.007880055,0.486941487,16#0C202241
0.387,10,10.0002365,0,0.003548918,0.486417681,16#0C202241
0.388,10,10.0002365,0,0.003142399,0.486089766,16#0C202241
0.389,10,10.0002365,0,0.006183147,0.485866278,16#0C202241
0.39,10,10.0002365,0,0.010025802,0.485698551,16#0C202241
0.391,10,10.0002365,0,0.012097723,0.485560566,16#0C202241
0.392,10,10.0002756,0,0.011588386,0.484961987,16#0C202241
0.393,10,10.0002756,0,0.009639853,0.48458609,16#0C202241
0.394,10,10.0002756,0,0.008046394,0.484329045,16#0C202241
0.395,10,10.0002365,0,0.007284336,0.484611839,16#0C202241
0.396,10,10.0002756,0,0.006256591,0.484237731,16#0C202241
0.397,10,10.0002365,0,0.004079342,0.484458059,16#0C202241
0.398,10,10.0003939,0,0.001743054,0.482609719,16#0C202241
0.399,10,10.0003548,0,0.002203529,0.482019275,16#0C202241
0.4,10,10.0002756,0,0.007166892,0.48259601,16#0C202241
0.401,10,10.0003548,0,0.013526859,0.481882662,16#0C202241
0.402,10,10.0003147,0,0.016515665,0.481917441,16#0C202241
0.403,10,10.000433,0,0.015358732,0.480430424,16#0C202241
0.404,10,10.0003548,0,0.012998389,0.480501235,16#0C202241
0.405,10,10.0003939,0,0.011853181,0.479989827,16#0C202241
